Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C16, C18, C4, C5, C8",0402,8,0.1u,
"C10, C12, C14, C15, C2, C20, C21, C6, C7, C9",0603,10,10u,
C17,0402,1,10n,
C19,0402,1,4.7u,
"D1, D3",OSI5FU3A11C,2,OSI5FU3A11C,
"D10, D6",0603,2,XL-1608SURC-06,XL-1608SURC-06
"D2, D4",OSI5FU3A11C_Reverse,2,OSI5FU3A11C,
D5,0603,1,XL-1608UYC-06,XL-1608UYC-06
D7,0603,1,XL-1608SYGC-06,XL-1608SYGC-06
"D8, D9",0603,2,XL-1608UBC-04,XL-1608UBC-04
"J1, J4",PinHeader_2x05_P1.27mm_Vertical_SMD,2,BD125-10-A-0305-0580-L-B,
J2,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04,
"L1, L2",Inductor,2,47uH,AMWPH4018S470MT
"P1, P3",motor_pin,2,Red,
"P2, P4",motor_pin,2,Blk,
P6,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,1,PicoBlade_53047-0210,
"Q1, Q2",Phototransistor_D3.0mm_Horizontal_O1.27mm_Z2.0mm_IRBlack,2,LTR,
"Q3, Q4",Phototransistor_D3.0mm_Horizontal_O1.27mm_Z2.0mm_IRBlack_Reverse,2,LTR,
"Q5, Q6, Q7, Q8",SOT-23,4,IRLML6344,
Q9,SOT-563,1,DMC2400UV-7,
"R1, R12, R15, R2, R20, R21, R23, R24, R26, R3, R4, R6, R9",0402,13,1k,
"R10, R13, R16, R7",0402,4,100k,
"R11, R14, R17, R8",0603,4,10,
"R18, R19, R25, R27, R5",0402,5,10k,
R22,0402,1,510,
SW1,KMR2xxNG_LFS,1,KMR211NG LFS,
SW2,SS12D01G4,1,SS12D01G4,
"U1, U9",MA302GQ-P,2,MA302/MA730,
"U10, U2",ENC_CONN_VART,2,ENCODER_CONNECT_IC,
U11,SOT-23-5,1,LP5907MFX-3.0,
U12,mod_stlink-v3m_mb1467,1,STLINK-V3MOS,
U3,DRV8836DSSR,1,DRV8836DSSR,
U4,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32F411CEU6/STM32F413CHU6,
"U5, U6",ENC_CONN_FLAT,2,ENCODER_CONNECT_PCB,
U7,SOT-23-5,1,MCP73831T-2ACI/OT,
U8,ICM-42688-P_handsoldering,1,ICM-42688-P,
