Designator,Mid X,Mid Y,Rotation,Layer
C1,35.4001,26.1,180.0,top
C10,4.8,72.5,270.0,top
C11,22.3,60.0,180.0,top
C12,13.7,62.2,270.0,top
C13,14.9,61.6,90.0,top
C14,14.1,33.1,0.0,top
C15,13.8,38.1,180.0,top
C16,21.7,56.0,90.0,top
C17,19.5,58.5,180.0,top
C18,3.7999,26.1,180.0,top
C19,26.26089,13.4,180.0,top
C2,34.2,72.5,270.0,top
C20,19.6,51.825,90.0,top
C21,21.1,51.8,90.0,top
C4,18.2,69.7,0.0,top
C5,19.2,70.7,180.0,top
C6,25.6,68.4,270.0,top
C7,25.7,81.3,36.0,top
C8,24.3,67.9,270.0,top
C9,13.3,81.3,144.0,top
D1,31.659546,73.899141,170.0,top
D10,25.17339,6.604544,180.0,top
D2,25.920205,79.049222,126.0,top
D3,13.079795,79.049222,234.0,top
D4,7.239042,73.758075,190.0,top
D5,21.8,74.3,270.0,top
D6,20.3,74.3,270.0,top
D7,18.7,74.3,270.0,top
D8,17.2,74.3,270.0,top
D9,22.2,36.5,180.0,top
J1,19.5,31.45,90.0,top
J4,33.4,10.1,0.0,top
L1,25.9,43.799999,0.0,top
L2,13.1,43.799999,180.0,top
P1,25.2,40.599999,270.0,top
P2,26.9,40.599999,270.0,top
P3,13.8,40.599999,270.0,top
P4,12.1,40.599999,270.0,top
P6,19.475,43.95,180.0,top
Q1,34.359546,67.099141,170.0,top
Q2,23.643716,82.317961,126.0,top
Q3,15.366443,82.317961,234.0,top
Q4,4.679846,67.106087,190.0,top
Q5,30.1,66.4,270.0,top
Q6,25.4,71.8375,270.0,top
Q7,13.4,71.8375,270.0,top
Q8,9.4,65.899999,270.0,top
Q9,17.75,51.95,270.0,top
R1,31.1,63.5,90.0,top
R10,23.15,73.7,90.0,top
R11,26.85,73.85,270.0,top
R12,12.55,69.4,180.0,top
R13,11.05,70.85,90.0,top
R14,12.05,73.8,270.0,top
R15,12.55,68.35,180.0,top
R16,11.6,66.9,270.0,top
R17,10.0,68.8,0.0,top
R18,16.05,52.65,90.0,top
R19,15.1,52.65,270.0,top
R2,20.0,79.6,270.0,top
R20,21.0,76.8,270.0,top
R21,20.0,76.8,270.0,top
R22,18.99,76.8,270.0,top
R23,17.99,76.8,270.0,top
R24,19.7,36.5,180.0,top
R25,17.75,50.1,0.0,top
R26,25.36089,8.3,0.0,top
R27,23.6,11.2,270.0,top
R3,19.0,79.6,270.0,top
R4,8.8,63.199999,0.0,top
R5,26.7,38.6,180.0,top
R6,29.1,63.5,270.0,top
R7,30.1,63.5,270.0,top
R8,29.55,69.2,0.0,top
R9,23.2,71.5,270.0,top
SW1,25.4,35.5,270.0,top
SW2,19.5,39.2,180.0,top
U1,35.4,23.5,0.0,top
U10,3.8,27.1,180.0,top
U11,13.75,35.6,0.0,top
U12,-8.006,9.984518,90.0,top
U2,35.40114,27.1,180.0,top
U3,23.8063,51.85,90.0,top
U4,19.5,64.589951,0.0,top
U5,27.0,55.999999,90.0,top
U6,12.0,55.999999,270.0,top
U7,25.85,10.8625,270.0,top
U8,19.5,55.999999,90.0,top
U9,3.8,23.5,0.0,top
